Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
[].id,Identificador único da Belvo para o item atual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,No,No,,
[].link,O `link.id` ao qual os dados pertencem.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,No,Yes,,
[].collected_at,O carimbo de data/hora ISO-8601 quando o ponto de dados foi coletado.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
[].created_at,O carimbo de data e hora ISO-8601 de quando o ponto de dados foi criado no banco de dados da Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
[].personal_data,,,object,,No,No,,
[].personal_data.name,O nome completo do indivíduo.,Cabezas Pérez Martín Vicente ,string,,No,No,,
[].personal_data.document_id_type,"O tipo de ID de documento do indivíduo. Para o Chile, isso será sempre definido como `RUT`.",RUT,string,,No,No,RUT,
[].personal_data.document_id_number,"O número de identificação do documento do indivíduo. Para o Chile, este será o número RUT.",12345678-9,string,,No,No,,
[].debt_data_last_updated,"A data em que os dados da dívida foram atualizados pela última vez, no formato `YYYY-MM-DD`.",2023-07-02,string,date,No,No,,
[].currency,"A moeda das dívidas. Para o Chile, será o `CLP`.",CLP,string,,No,No,,^[A-Z]{3}$
[].total,"O valor total da dívida, incluindo dívidas atuais, inadimplentes, gravemente inadimplentes e inadimplidas.",6506000.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
[].current,"O montante da dívida que está atualmente em aberto, mas não vencida.",5350000.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
[].delinquent,O valor da dívida que está vencida há 30-59 dias.,,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
[].severely_delinquent,O valor da dívida que está vencida há 60-89 dias.,56000.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
[].defaulted,O valor da dívida que está vencida há 90 dias.,1100000.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
[].direct_debts,Uma lista de dívidas que são diretamente atribuídas ao indivíduo.,,array,,No,Yes,,
[].direct_debts[].financial_institution,O nome da instituição financeira onde a dívida está mantida.,Banco Santander,string,,No,No,,
[].direct_debts[].credit_type,"O tipo de crédito emitido pela instituição financeira. Por exemplo, `Vivienda`, `Comercial`, `Consumo` ou `Otro`.",Vivienda,string,,No,No,,
[].direct_debts[].amount,O valor total da dívida na instituição financeira.,5000000.02,number,float,No,No,,"^\d{1,15}\.\d{2,4}$"
[].direct_debts[].current,O valor atual pendente da dívida na instituição financeira.,5000000.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
[].direct_debts[].delinquent,O valor da dívida que está vencida há 30-59 dias.,,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
[].direct_debts[].severely_delinquent,O valor da dívida que está vencida há 60-89 dias.,,number,float,No,Yes,,
[].direct_debts[].defaulted,O valor da dívida que está vencida há 90 dias.,,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
[].indirect_debts,Lista de dívidas indiretas de instituições financeiras.,,array,,No,Yes,,
[].indirect_debts[].financial_institution,Nome da instituição financeira que fornece a dívida indireta.,Banco BCI,string,,No,No,,
[].indirect_debts[].credit_type,"O tipo de crédito emitido pela instituição financeira. Por exemplo, `Vivienda`, `Comercial`, `Consumo` ou `Otro`.",Consumo,string,,No,No,,
[].indirect_debts[].amount,O valor total da dívida na instituição financeira.,200000.02,number,float,No,No,,"^\d{1,15}\.\d{2,4}$"
[].indirect_debts[].current,O valor atual pendente da dívida na instituição financeira.,,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
[].indirect_debts[].delinquent,O valor da dívida que está vencida há 30-59 dias.,,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
[].indirect_debts[].severely_delinquent,O valor da dívida que está vencida há 60-89 dias.,,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
[].indirect_debts[].defaulted,O valor da dívida que está vencida há 90 dias.,200000.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
[].credit_lines,Lista de linhas de crédito (como cartões de crédito) disponíveis para o indivíduo.,,array,,No,Yes,,
[].credit_lines[].financial_institution,O nome da instituição financeira que fornece a linha de crédito.,Banco BCI,string,,No,No,,
[].credit_lines[].direct_amount,A quantidade de crédito direto disponível.,5000000.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
[].credit_lines[].indirect_amount,A quantidade de crédito indireto disponível.,,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
[].other_credits,"Lista de outros créditos (como notas de garantia, crédito estrangeiro, etc.) disponíveis para o indivíduo.",,array,,No,Yes,,
[].other_credits[].financial_institution,O nome da instituição financeira que fornece o crédito.,Banco BCI,string,,No,No,,
[].other_credits[].direct_amount,A quantidade de crédito direto disponível.,,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
[].other_credits[].indirect_amount,A quantidade de crédito indireto disponível.,250000.02,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
