Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
id,Identificador único da Belvo para o item atual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,Yes,No,,
link,O `link.id` ao qual os dados pertencem.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,Yes,Yes,,
created_at,O carimbo de data e hora ISO-8601 de quando o ponto de dados foi criado no banco de dados da Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
collected_at,O carimbo de data/hora ISO-8601 quando o ponto de dados foi coletado.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
operation_identifier,O identificador único da rede para a operação de troca.,92792126019929240,string,,Yes,No,,"^[a-zA-Z0-9][a-zA-Z0-9\-]{0,99}$"
operation_number,O número de registro da operação de 12 dígitos do Banco Central do Brasil (Bacen). Isso pode ser `null` se a operação ainda não tiver sido registrada.,393874649456,string,,No,Yes,,^\d{12}$
operation_type,"O tipo de operação de câmbio.

Retornamos um dos seguintes valores do enum:
  - `COMPRA` - Compra (o cliente está comprando moeda estrangeira)
  - `VENDA` - Venda (o cliente está vendendo moeda estrangeira)",COMPRA,string,,Yes,No,"COMPRA, VENDA",
operation_requested_at,O carimbo de data e hora ISO-8601 quando a operação de câmbio foi contratada.,2023-03-07T08:30:00Z,string,date-time,Yes,No,,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$
authorized_institution_identifier,O CNPJ da instituição autorizada a realizar a operação.,11225860000140,integer,int64,Yes,No,,
authorized_institution_name,O nome da instituição autorizada.,AGENCIA CORRETORA,string,,Yes,No,,
intermediary_institution_identifier,"O CNPJ da instituição intermediária, se uma foi utilizada.",11225860000140,integer,int64,No,Yes,,
intermediary_institution_name,O nome da instituição intermediária. Deve estar presente se `intermediary_institution_identifier` estiver disponível.,AGENCIA CORRETORA,string,,No,Yes,,
