Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
id,Identificador único de Belvo para el elemento actual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,Yes,No,,
link,El `link.id` al que pertenecen los datos.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,Yes,Yes,,
internal_identification,El identificador interno de la institución para el propietario.,7e5838e4,string,,Yes,Yes,,
collected_at,La marca de tiempo ISO-8601 cuando se recopiló el punto de datos.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
created_at,La marca de tiempo ISO-8601 de cuando se creó el punto de datos en la base de datos de Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
company_name,"El nombre completo (oficial) del negocio, tal como lo proporciona la institución.

> **No anulable:** La red de finanzas abiertas de Brasil debe devolver un valor.",Wayne Enterprises,string,,Yes,No,,"^[\w\W]{0,128}$"
trade_name,El nombre comercial del negocio.,WayneCorp,string,,Yes,Yes,,"^[\w\W]{0,128}$"
incorporation_date,"La fecha en que se constituyó la empresa, en formato `YYYY-MM-DD`.

> **No anulable:** La red de finanzas abiertas de Brasil debe devolver un valor.",1988-07-15,string,date,Yes,No,,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$
companies_id,"Las instituciones responsables de la creación y verificación del propietario.

> **No anulable:** La red de finanzas abiertas de Brasil debe devolver un valor.",,array,,Yes,No,,
document_id,"Información sobre el documento de identificación que el propietario proporcionó al banco.

> **Non-nullable:** La red de finanzas abiertas de Brasil debe devolver un valor.",,object,,Yes,No,,
document_id.document_type,"El tipo de documento que el propietario proporcionó a la institución para abrir la cuenta. Los tipos de documentos comunes son:

🇧🇷 Brasil
- `CPF` (*Cadastro de Pessoas Físicas*)
- `CNPJ` (*Cadastro Nacional de Pessoas Jurídicas*)

> **Non-nullable:** La red de finanzas abiertas de Brasil debe devolver un valor.",CPF,string,,Yes,No,,
document_id.document_number,"El número de identificación del documento.

> **No anulable:** La red de finanzas abiertas de Brasil debe devolver un valor.",235578435-S,string,,Yes,No,,
additional_documents,"Información detallada sobre documentos adicionales proporcionados para probar la identificación del negocio.

> **No anulable:** La red de finanzas abiertas de Brasil debe devolver un valor.",,array,,Yes,No,,
additional_documents[].type,"El tipo de documento de identificación. Devolvemos uno de los siguientes valores:

  - `DRIVERS_LICENSE`
  - `PASSPORT`
  - `ID_CARD`
  - `FISCAL_ID`
  - `FOREIGNER_REGISTRATION_CARD`
  - `OTHER`
  - `null`",DRIVERS_LICENSE,string,,Yes,Yes,"DRIVERS_LICENSE, PASSPORT, ID_CARD, FISCAL_ID, FOREIGNER_REGISTRATION_CARD, OTHER, None",
