Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
id,Identificador único da Belvo para o item atual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,No,No,,
institution,Nome da instituição segundo a Belvo.,erebor_mx_retail,string,,No,No,,
access_mode,"O tipo de link.  
Para mais informações, consulte nosso artigo [Links](https://developers.belvo.com/docs/links-and-institutions#links).  
Retornamos um dos seguintes valores do enum:  
  - `single`  
  - `recurrent`  
  - `null`",recurrent,string,,No,Yes,"single, recurrent, None",
last_accessed_at,O timestamp ISO-8601 do acesso mais recente e bem-sucedido da Belvo à instituição para o link fornecido.,2021-03-09T10:28:40.000Z,string,date-time,No,Yes,,
created_at,O carimbo de data e hora ISO-8601 de quando o ponto de dados foi criado no banco de dados da Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
external_id,"Um identificador adicional para o link, fornecido por você, para armazenar no banco de dados da Belvo. **Não pode** incluir nenhuma Informação Pessoal Identificável (PII). **Deve** ter pelo menos três caracteres.

Se identificarmos que o identificador contém PII, forçaremos um valor `null`. Para mais informações, consulte nosso [artigo sobre criação de Link](https://developers.belvo.com/docs/link-creation-best-practices#adding-your-own-identifier).",56ab5706-6e00-48a4-91c9-ca55968678d9,string,,No,No,,
institution_user_id,"> 📘 Info
>
> Aplicável apenas para links criados **após 02-08-2022**.

Uma string única de 44 caracteres que pode ser usada para identificar um usuário em uma determinada instituição.

📚 Confira nosso artigo [Evitando links duplicados](https://developers.belvo.com/docs/link-creation-best-practices#avoiding-duplicated-links) no DevPortal para mais informações e dicas sobre como usá-lo.",sooE7XJWEKypZJR603ecaWYk-8Ap0oD8Nr1pBQ4eG9c=,string,,No,No,,[A-Za-z0-9\-=_]{44}
status,"O status atual do link. Para mais informações, consulte nosso artigo [Link](https://developers.belvo.com/docs/links-and-institutions#links) no devportal.
Retornamos um dos seguintes valores:
  - `valid`
  - `invalid`
  - `unconfirmed`
  - `token_required`",valid,string,,No,No,"valid, invalid, unconfirmed, token_required",
created_by,O ID único para o usuário que criou este item.,bcef7f35-67f2-4b19-b009-cb38795faf09,string,uuid,No,No,,
refresh_rate,"A taxa de atualização para o link recorrente. Para mais informações, consulte nossa [documentação de links recorrentes](https://developers.belvo.com/docs/links-and-institutions#recurrent-links) em nosso DevPortal.
Retornamos um dos seguintes valores enum:
  - `6h`
  - `12h`
  - `24h`
  - `7d` (padrão)
  - `30d` (uma vez por mês)
  - `null` (para links únicos)",7d,string,,No,Yes,"6h, 12h, 24h, 7d, 30d, None",
credentials_storage,"Indica se as credenciais devem ou não ser armazenadas (e a duração para a qual as credenciais serão armazenadas).

- Para links recorrentes, isso é definido como `store` por padrão (e não pode ser alterado).
- Para links únicos, isso é definido como `365d` por padrão.

Escolha uma das opções:
  - `store` para armazenar credenciais (até que o link seja excluído)
  - `nostore` para não armazenar credenciais
  - Qualquer valor entre `1d` e `365d` para indicar o número de dias que você deseja que as credenciais sejam armazenadas.

Para mais informações, confira a seção <a href=""https://developers.belvo.com/docs/data-retention-controls#credentials_storage"" target=""_blank"">credentials_storage</a> do nosso artigo sobre controles de retenção de dados.",27d,string,,No,No,,"^(store|nostore|\d{1,3}d)$"
fetch_resources,Um array de recursos para o qual você receberá uma atualização histórica.,"[""ACCOUNTS"", ""TRANSACTIONS""]",array,,No,No,,
stale_in,"Indica por quanto tempo qualquer dado derivado do usuário deve ser armazenado no banco de dados da Belvo para o link (tanto único quanto recorrente). Por exemplo, se você enviar `90d`, a Belvo removerá qualquer dado relacionado ao usuário de seu banco de dados após 90 dias. Para mais informações, confira a seção <a href=""https://developers.belvo.com/docs/data-retention-controls#stale_in"" target=""_blank"">stale_in</a> do nosso artigo sobre controles de retenção de dados.

> 📘 Info
>
> A Belvo removerá dados apenas para links que não foram atualizados no período que você fornecer em `stale_in`. A Belvo removerá dados apenas para links que não foram atualizados no período que você fornecer em `stale_in`.

Por padrão, a Belvo armazena dados do usuário por 365 dias, a menos que o link seja deletado.",42d,string,,No,No,,"^\d{1,3}d$"
