Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
id,Identificador único da Belvo para o item atual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,Yes,No,,
link,O `link.id` ao qual os dados pertencem.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,Yes,Yes,,
internal_identification,O identificador interno da instituição para o proprietário.,7e5838e4,string,,Yes,Yes,,
collected_at,O carimbo de data/hora ISO-8601 quando o ponto de dados foi coletado.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
created_at,O carimbo de data e hora ISO-8601 de quando o ponto de dados foi criado no banco de dados da Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
company_name,"O nome completo (oficial) do negócio, conforme fornecido pela instituição.

> **Não anulável:** Um valor deve ser retornado pela rede de open finance do Brasil.",Wayne Enterprises,string,,Yes,No,,"^[\w\W]{0,128}$"
trade_name,O nome comercial da empresa.,WayneCorp,string,,Yes,Yes,,"^[\w\W]{0,128}$"
incorporation_date,"A data em que a empresa foi constituída, no formato `YYYY-MM-DD`.

> **Não anulável:** Um valor deve ser retornado pela rede de open finance do Brasil.",1988-07-15,string,date,Yes,No,,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$
companies_id,"As instituições responsáveis pela criação e verificação do proprietário.

> **Non-nullable:** Um valor deve ser retornado pela rede de open finance do Brasil.",,array,,Yes,No,,
document_id,"Informações sobre o documento de identificação que o proprietário forneceu ao banco.

> **Non-nullable:** Um valor deve ser retornado pela rede de open finance do Brasil.",,object,,Yes,No,,
document_id.document_type,"O tipo de documento que o proprietário forneceu à instituição para abrir a conta. Tipos comuns de documentos são:

🇧🇷 Brasil
- `CPF` (*Cadastro de Pessoas Físicas*)
- `CNPJ` (*Cadastro Nacional de Pessoas Jurídicas*)

> **Non-nullable:** Um valor deve ser retornado pela rede de open finance do Brasil.",CPF,string,,Yes,No,,
